X,Y,OBJECTID,FOLIO,ID,NAME,ADDRESS,CITY,ZIPCODE,PHONE,CONTACT,TOTACRE,LAT,LON,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,FACILITYPLAN,PARKURL,AMPHITHEAT,ARCHERY,ART,AUDITORIUM,BASEBALL,BASKETBALL,BEACH,BIKETRAIL,BMXTRACK,BOATRAMP,CAMPGROUND,CANOE_LAUNCH,DOGPARK,EQUESTRIAN,FITNESSZONE,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,PLAYGROUND,RAQUETBALL,REC_CENTER,RESTROOM,ROLLERHOCK,RVCAMPGROU,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FIT2PLAY,LRN2SWIM,SPRCAMP,SUMCAMP,AFTSCHCAMP,ACTOLDADLPRG,WINTCAMP,ONEDAYCAMP,STARTIME,ENDTIME
-80.4005227361389,25.5743446318249,11,3069110042220,691102,MedSouth Park,20751 SW 129TH AVE,MIAMI,33177,305-257-0933, ,4.49,25.57434,-80.40052,853771.999808,451434.000061,Neighborhood Park,Local,MiamiDadePark,County,691102,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/MedSouth Park.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{5B756EEC-DA25-4179-9289-CFFB7C18FB0D},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.2451726965658,25.8065146933517,12,3031280340010,312801,Melrose Park,3050 NW 35TH ST,MIAMI,33142,305-633-4066, ,0,25.80651,-80.24517,904499.000059,536076.999082,Neighborhood Park,Local,MiamiDadePark,County,312801,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{3CEF59F0-356B-4886-B802-9BB3F7A6B4F6},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:55+00,No,No,No,No,No,No,No,No,,
-80.1196626596402,25.8181146988699,13, ,320201,Miami Beach,FROM SOUTH BEACH TO NW 86 ST,MIAMI BEACH,33141,305-868-7075, ,0,25.81811,-80.11966,945766.001187,540550.000307,Metropolitan Park,Area-Wide,MiamiDadePark,County,320201,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami Beach.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{859CB461-583D-482F-939C-C689C2DFA791},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.3994127364514,25.6133946410661,14,3059360000050,592500,Zoo Miami,12400 SW 152ND ST,MIAMI,33177,305-251-0403, ,740,25.61339,-80.39941,854072.999534,465626.00022,Special Activity Park,Area-Wide,MiamiDadePark,County,592500,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Zoo Miami.pdf,http://www.miamidade.gov/parks/zoo-miami.asp,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,{C960E7EA-268E-4077-9811-1BC70A232CC5},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:53+00,No,No,No,No,No,No,No,No,,
-80.2222526914362,25.8734047108024,15,3021350000050,213502,Miami Shores Optimist Club,10915 NW 14TH AVE,MIAMI,33167,305-835-7987, ,9.2,25.8734,-80.22225,911897.000355,560433.999909,Single Purpose Park,Local,MiamiDadePark,County,213502,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami Shores Optimist Club.pdf,http://www.miamidade.gov/parks/,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{80275FAF-952B-4CAB-A3DD-61ACE576AE9B},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.2411726944383,25.773664685564,16,0141040000040,410401,Miami-Dade County Auditorium,2901 WEST FLAGLER ST,MIAMI,33125,305-547-5414 x226, ,9.47,25.77366,-80.24117,905885.000896,524147.999646,Special Activity Park,Area-Wide,MiamiDadePark,County,410401,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami-Dade County Auditorium.pdf,http://www.miamidade.gov/parks/mdc-auditorium.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{02CE6CC8-AAE1-4EA5-9E53-B106A1878BE7},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:55+00,No,No,No,No,No,No,No,No,,
-80.3429427251784,25.823804695984,17,3030160000010,301699,Miami-Dade Regional Soccer Park,8795 NW 58TH ST,MIAMI,33178, , ,33.57,25.8238,-80.34294,872303.000147,542191.000962,Single Purpose Park,Area-Wide,MiamiDadePark,County,301699,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami-Dade Regional Soccer Park.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{2613DFF2-0711-453E-870C-76FB3F992D3A},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.3092027136743,25.7374946749192,18,3040140210030,401403,A.D. Barnes Park,3401 SW 72ND AVE,MIAMI,33155,305-666-5883,,60.4,25.73749,-80.3092,883565.000261,510877.999939,Community Park,Local,MiamiDadePark,County,401403,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/A.D. Barnes Park.pdf,http://www.miamidade.gov/parks/ad-barnes.asp,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,{EA38B48D-6528-4A15-BE45-CB54AC91D0CC},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.2893927137875,25.9498747291257,19,3021060141670,210600,Acadia Park,5351 NW 195TH DR,MIAMI,33055,305-621-2461, ,5.24,25.94987,-80.28939,889670.00019,588104.999685,Neighborhood Park,Local,MiamiDadePark,County,210600,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Acadia Park.pdf,http://www.miamidade.gov/parks/acadia.asp,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{D681628E-11E2-487E-A4AF-08F137619E2E},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:53+00,No,No,No,No,No,No,No,No,,
-80.2319226934487,25.8310546996224,20,3031150270030,311509,African Heritage Cultural Arts Cntr,2166 NW 62ND ST,MIAMI,33142,305-638-6771, ,4,25.83105,-80.23192,908807.999972,545021.999893,Special Activity Park,Area-Wide,MiamiDadePark,County,311509,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/African Heritage Cultural Arts Cntr.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{663B1FCF-679D-4318-9FB0-BD11B7369BCB},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.2222226904007,25.8358547011361,21,0131140180310,311419,Alonzo Kelly Park,1455 NW 67TH ST,MIAMI,33147,305-694-4889, ,0.5,25.83585,-80.22222,911986.999519,546787.000628,Mini Park,Local,MiamiDadePark,County,311419,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Alonzo Kelly Park.pdf,http://www.miamidade.gov/parks/alonzo-kelly.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{87D968A9-7A7A-4F2D-9D39-404F350D6AAF},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.2762627076261,25.8886947136194,22,0821320010013,213001,Amelia Earhart Park,401 E 65 ST,HIALEAH,33014,305-953-6024, ,515,25.88869,-80.27626,894105.99952,565889.999495,District Park,Local,MiamiDadePark,County,213001,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Amelia Earhart Park.pdf,http://www.miamidade.gov/parks/amelia-earhart.asp,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,{EA07014E-9D73-4086-907C-48BFCA570658},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.1614226745924,25.9012747194699,23,0722200140310,222101,Arch Creek Park,1855 NE 135TH ST,NORTH MIAMI BEACH,33181,305-944-6111, ,0,25.90127,-80.16142,931834.999521,570687.0004,Natural Area Preserve,Area-Wide,MiamiDadePark,County,222101,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arch Creek Park.pdf,http://www.miamidade.gov/parks/arch-creek.asp,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{E23981B9-7014-4376-91C8-6ED2A4F61086},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.219542690718,25.8513847055108,24,3031110590010,311106,Arcola Lakes Park,1301 NW 83RD ST,MIAMI,33147,305-836-5095, ,3.85,25.85138,-80.21954,912836.000774,552437.999496,Community Park,Local,MiamiDadePark,County,311106,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arcola Lakes Park.pdf,http://www.miamidade.gov/parks/arcola-lakes.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,{41F3C5A9-C145-42F1-B551-CA6C55BB3C47},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.36127272638,25.646434650851,25,3050170220090,501704,Area 313,10350 SW 132ND ST,MIAMI,33176,305-274-9666, ,0.94,25.64643,-80.36127,866584.999772,477695.000361,Greenway Park,Area-Wide,MiamiDadePark,County,501704,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 313.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{AF1DDEA5-D1D8-4EB1-B7F0-E223B7DD1ABD},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.3552227247567,25.6590846534835,26,3050080170440,500802,Area 316,9905 SW 120TH ST,MIAMI,33176,305-274-9666, ,2.3,25.65908,-80.35522,868555.999767,482300.999351,Greenway Park,Area-Wide,MiamiDadePark,County,500802,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 316.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{FDF846AF-0AB2-4956-9753-9E3745BF95D0},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:55+00,No,No,No,No,No,No,No,No,,
-80.3550327247859,25.6525446522368,27,3050170200330,501701,Area 318,9900 SW 128TH ST,MIAMI,33176,305-274-9666, ,4.69,25.65254,-80.35503,868627.999623,479923.999512,Greenway Park,Area-Wide,MiamiDadePark,County,501701,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 318.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{EB0CB4F2-31B3-4A3B-A723-685569717D65},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.3531527260677,25.7390246737406,28,3040170000410,401702,Area 323,9750 SW 32ND ST,MIAMI,33165,786-315-5295, ,4.49,25.73902,-80.35315,869096.000328,511357.999964,Greenway Park,Area-Wide,MiamiDadePark,County,401702,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 323.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{3EC52036-8FDA-4365-9332-777BF3BF7928},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.3529427269037,25.7408846745614,29,3040170050760,401703,Area 324,9761 SW 32ND ST,MIAMI,33165,786-315-5295, ,1.89,25.74088,-80.35294,869158.999873,512035.999592,Greenway Park,Area-Wide,MiamiDadePark,County,401703,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 324.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{FF7D4D7F-46FB-4657-B1DE-67B72976825A},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.36443272736,25.6463646504127,30,3050170190190,501705,Area 338,13211 SW 105TH AVE,MIAMI,33176,305-596-9324, ,1.1,25.64636,-80.36443,865544.999556,477665.000093,Greenway Park,Area-Wide,MiamiDadePark,County,501705,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 338.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{0D4D3D1D-E3B4-4146-8B0F-D7AC7FB4F45D},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.4031527391861,25.6666146547979,31,3059110131400,591100,Arvida Park,12830 SW 108TH ST,MIAMI,33186,305-386-0227, ,8,25.66661,-80.40315,852754.999217,484964.999928,Neighborhood Park,Local,MiamiDadePark,County,591100,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arvida Park.pdf,http://www.miamidade.gov/parks/arvida.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{46518C40-7878-49CE-9690-F81562C7C7F5},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.3843727305362,25.5543046269485,32,3069130000690,691303,William Randolph Community Park,SW 228TH ST / SW 119TH AVE,MIAMI,33170,305-233-3150, ,10,25.5543,-80.38437,859131.000244,444173.000476,Neighborhood Park,Local,MiamiDadePark,County,691303,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/William Randolph Community Park.pdf,http://www.miamidade.gov/parks/william-randolph.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{F3A7A221-C1F4-4FA2-929F-3CE772BC0B32},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.1212126631371,25.8933947178976,33, ,222601,Bal Harbour Beach,9701 COLLINS AVE,BAL HARBOUR,33154,305-868-7075, ,0,25.89339,-80.12121,945071.999622,567909.999392,Metropolitan Park,Area-Wide,MiamiDadePark,County,222601,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Bal Harbour Beach.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CD88FDC9-E961-401B-9563-25B3C2900BC4},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:53+00,No,No,No,No,No,No,No,No,,
-80.2842527046488,25.6876846628918,34,3051060040140,510605,Banyan Drive Park,SW 56TH CT / BANYAN DR,CORAL GABLES,33156,305-233-3150, ,0.8,25.68768,-80.28425,891878.000367,492815.000304,Mini Park,Local,MiamiDadePark,County,510605,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Banyan Drive Park.pdf,http://www.miamidade.gov/parks/banyan-drive.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{7E687742-1BDD-4E7C-9E73-E8869F7E2DD0},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
