Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Size,Sales,StoreType
1,3/5/10,46.5,2.625,211.3501429,8.106,0,151315,1554806.68,A
2,3/5/10,47.17,2.625,211.0067542,8.324,0,202307,1991013.13,A
3,3/5/10,53.04,2.625,214.6751386,7.368,0,37392,415202.04,B
4,3/5/10,43.49,2.654,126.5782857,8.623,0,205863,1971057.44,A
5,3/5/10,48.89,2.625,211.9071653,6.566,0,34875,288855.71,B
6,3/5/10,49.63,2.625,212.8745193,7.259,0,202505,1601348.82,A
7,3/5/10,35.86,2.62,189.6695049,9.014,0,70713,491419.55,B
8,3/5/10,45.64,2.625,214.7216592,6.299,0,155078,881503.95,A
9,3/5/10,48.43,2.625,214.9054721,6.415,0,125833,507297.88,B
10,3/5/10,55.92,2.877,126.5782857,9.765,0,126512,1987090.09,B
11,3/5/10,53.96,2.625,214.6751386,7.368,0,207499,1426622.65,A
12,3/5/10,53.77,2.987,126.5782857,13.975,0,112238,1077018.27,B
13,3/5/10,40.65,2.681,126.5782857,8.316,0,219622,1939980.43,A
14,3/5/10,37.13,2.777,182.1201566,8.992,0,200898,2237544.75,A
15,3/5/10,31.79,2.919,131.735,8.35,0,123737,605325.43,B
16,3/5/10,27.92,2.62,189.6695049,7.039,0,57197,444181.85,B
17,3/5/10,31.58,2.681,126.5782857,6.548,0,93188,783300.05,B
18,3/5/10,37.17,2.766,131.735,9.202,0,120653,1179738.5,B
19,3/5/10,32.92,2.919,131.735,8.35,0,203819,1495844.57,A
20,3/5/10,31.75,2.777,204.4940734,8.187,0,203742,2119213.72,A
21,3/5/10,48.61,2.625,211.0067542,8.324,0,140167,747444.32,B
22,3/5/10,36.82,2.766,135.5732602,8.283,0,119557,1009201.24,B
23,3/5/10,33.15,2.766,131.735,5.892,0,114533,1311175.93,B
24,3/5/10,36.73,2.919,131.735,8.326,0,203819,1412387.37,A
25,3/5/10,29.45,2.777,204.4940734,8.187,0,128107,665750.06,B
26,3/5/10,28.6,2.766,131.735,8.488,0,152513,1005669.58,A
27,3/5/10,38.07,2.919,135.5732602,8.237,0,204184,1313729.72,A
28,3/5/10,53.77,2.987,126.5782857,13.975,0,206302,1608435.45,A
29,3/5/10,36.82,2.766,131.735,10.064,0,93638,535087.91,B
30,3/5/10,48.61,2.625,211.0067542,8.324,0,42988,472591.07,C
31,3/5/10,48.61,2.625,211.0067542,8.324,0,203750,1384870.51,A
32,3/5/10,37.72,2.62,189.6695049,9.014,0,203007,1066566.74,A
33,3/5/10,59.17,2.877,126.5782857,10.115,0,39690,291484.89,A
34,3/5/10,42.65,2.654,126.5782857,9.521,0,158114,918295.79,A
35,3/5/10,38.07,2.777,135.5732602,9.262,0,103681,1162610.27,B
36,3/5/10,51.33,2.574,210.1092746,8.554,0,39910,480203.43,A
37,3/5/10,51.33,2.625,210.1092746,8.554,0,39910,519255.68,C
38,3/5/10,53.77,2.987,126.5782857,13.975,0,39690,372239.89,C
39,3/5/10,50.93,2.625,210.1092746,8.554,0,184109,1266254.21,A
40,3/5/10,34.78,2.766,131.735,5.892,0,155083,990152.28,A
41,3/5/10,32.49,2.62,189.6695049,7.541,0,196321,1063557.49,A
42,3/5/10,55.92,2.877,126.5782857,9.765,0,39690,554972.42,C
43,3/5/10,52.89,2.625,203.3117653,9.521,0,41062,658600.05,C
44,3/5/10,40.65,2.681,126.5782857,8.119,0,39910,284617.27,C
45,3/5/10,37.13,2.777,182.1201566,8.992,0,118221,777951.22,B
1,3/12/10,57.79,2.667,211.3806429,8.106,0,151315,1439541.59,A
2,3/12/10,57.56,2.667,211.037551,8.324,0,202307,1990483.78,A
3,3/12/10,63.08,2.667,214.7027646,7.368,0,37392,384200.69,B
4,3/12/10,49.63,2.704,126.6042857,8.623,0,205863,1894324.09,A
5,3/12/10,58.5,2.667,211.9371839,6.566,0,34875,297293.59,B
6,3/12/10,58.82,2.667,212.9037017,7.259,0,202505,1558621.36,A
7,3/12/10,27.25,2.684,189.7372075,9.014,0,70713,480452.1,B
8,3/12/10,49.76,2.667,214.7492449,6.299,0,155078,860336.16,A
9,3/12/10,55.76,2.667,214.932899,6.415,0,125833,494145.8,B
10,3/12/10,52.33,3.034,126.6042857,9.765,0,126512,1941346.13,B
11,3/12/10,64.1,2.667,214.7027646,7.368,0,207499,1331883.16,A
12,3/12/10,50.11,2.925,126.6042857,13.975,0,112238,985594.23,B
13,3/12/10,37.62,2.733,126.6042857,8.316,0,219622,1840686.94,A
14,3/12/10,45.8,2.818,182.1628441,8.992,0,200898,2156035.06,A
15,3/12/10,41.39,2.938,131.784,8.35,0,123737,604173.59,B
16,3/12/10,28.64,2.684,189.7372075,7.039,0,57197,445393.74,B
17,3/12/10,29.71,2.733,126.6042857,6.548,0,93188,763961.82,B
18,3/12/10,42.39,2.805,131.784,9.202,0,120653,1138800.32,B
19,3/12/10,39.06,2.938,131.784,8.35,0,203819,1467889.2,A
20,3/12/10,43.82,2.818,204.5250598,8.187,0,203742,2010974.84,A
21,3/12/10,57.1,2.667,211.037551,8.324,0,140167,712312.89,B
22,3/12/10,43.43,2.805,135.6270013,8.283,0,119557,967187.37,B
23,3/12/10,36.07,2.805,131.784,5.892,0,114533,1408082.96,B
24,3/12/10,42.31,2.938,131.784,8.326,0,203819,1309340.16,A
25,3/12/10,40.05,2.818,204.5250598,8.187,0,128107,660619.99,B
26,3/12/10,31.1,2.805,131.784,8.488,0,152513,963382.09,A
27,3/12/10,45.98,2.938,135.6270013,8.237,0,204184,1925113.12,A
28,3/12/10,50.11,2.925,126.6042857,13.975,0,206302,1326877.11,A
29,3/12/10,43.43,2.805,131.784,10.064,0,93638,519042.49,B
30,3/12/10,57.1,2.667,211.037551,8.324,0,42988,468189.93,C
31,3/12/10,57.1,2.667,211.037551,8.324,0,203750,1366193.35,A
32,3/12/10,39.88,2.684,189.7372075,9.014,0,203007,1093319.37,A
33,3/12/10,55.61,3.034,126.6042857,10.115,0,39690,312161,A
34,3/12/10,42.26,2.704,126.6042857,9.521,0,158114,921247.88,A
35,3/12/10,45.98,2.818,135.6270013,9.262,0,103681,1150344.39,B
36,3/12/10,61.96,2.619,210.1413607,8.554,0,39910,441434.2,A
37,3/12/10,61.96,2.667,210.1413607,8.554,0,39910,513015.35,C
38,3/12/10,50.11,2.925,126.6042857,13.975,0,39690,342023.92,C
39,3/12/10,61.88,2.667,210.1413607,8.554,0,184109,1244391.83,A
40,3/12/10,35.1,2.805,131.784,5.892,0,155083,899352.4,A
41,3/12/10,33.4,2.684,189.7372075,7.541,0,196321,1023997.71,A
42,3/12/10,52.33,3.034,126.6042857,9.765,0,39690,588363.62,C
43,3/12/10,53.67,2.667,203.3436582,9.521,0,41062,645386.94,C
44,3/12/10,37.62,2.733,126.6042857,8.119,0,39910,272190.83,C
45,3/12/10,45.8,2.818,182.1628441,8.992,0,118221,765687.42,B
1,3/19/10,54.58,2.72,211.215635,8.106,0,151315,1472515.79,A
2,3/19/10,54.52,2.72,210.8733316,8.324,0,202307,1946070.88,A
3,3/19/10,60.42,2.72,214.5301219,7.368,0,37392,375328.59,B
4,3/19/10,55.19,2.743,126.6066452,8.623,0,205863,1897429.36,A
5,3/19/10,55.46,2.72,211.770897,6.566,0,34875,281706.41,B
6,3/19/10,56.55,2.72,212.7351935,7.259,0,202505,1693058.91,A
7,3/19/10,29.04,2.692,189.734262,9.014,0,70713,574450.23,B
8,3/19/10,47.26,2.72,214.5764954,6.299,0,155078,839911,A
9,3/19/10,53.15,2.72,214.7597274,6.415,0,125833,485744.61,B
10,3/19/10,61.46,3.054,126.6066452,9.765,0,126512,1946875.06,B
11,3/19/10,61.51,2.72,214.5301219,7.368,0,207499,1364207,A
12,3/19/10,59.57,3.054,126.6066452,13.975,0,112238,972088.34,B
13,3/19/10,42.49,2.782,126.6066452,8.316,0,219622,1879794.89,A
14,3/19/10,48.79,2.844,182.0779857,8.992,0,200898,2066219.3,A
15,3/19/10,44.69,2.96,131.8242903,8.35,0,123737,593710.67,B
16,3/19/10,33.45,2.692,189.734262,7.039,0,57197,504307.35,B
17,3/19/10,33.96,2.782,126.6066452,6.548,0,93188,752034.52,B
18,3/19/10,45.42,2.834,131.8242903,9.202,0,120653,1087507.47,B
19,3/19/10,43.74,2.96,131.8242903,8.35,0,203819,1332940.35,A
20,3/19/10,47.32,2.844,204.3782258,8.187,0,203742,1951848.43,A
21,3/19/10,54.68,2.72,210.8733316,8.324,0,140167,727070,B
22,3/19/10,46.03,2.834,135.6682247,8.283,0,119557,966145.09,B
23,3/19/10,43.01,2.834,131.8242903,5.892,0,114533,1229008.32,B
24,3/19/10,46.09,2.96,131.8242903,8.326,0,203819,1222511.29,A
25,3/19/10,45,2.844,204.3782258,8.187,0,128107,659795.84,B
26,3/19/10,35.34,2.834,131.8242903,8.488,0,152513,903366.55,A
27,3/19/10,49.04,2.96,135.6682247,8.237,0,204184,1700627.97,A
28,3/19/10,59.57,3.054,126.6066452,13.975,0,206302,1279819.43,A
29,3/19/10,46.03,2.834,131.8242903,10.064,0,93638,496851.6,B
30,3/19/10,54.68,2.72,210.8733316,8.324,0,42988,445736.36,C
31,3/19/10,54.68,2.72,210.8733316,8.324,0,203750,1332261.01,A
32,3/19/10,42.43,2.692,189.734262,9.014,0,203007,1059781.78,A
33,3/19/10,64.6,3.054,126.6066452,10.115,0,39690,282235.73,A
34,3/19/10,45.86,2.743,126.6066452,9.521,0,158114,892070.82,A
35,3/19/10,49.04,2.844,135.6682247,9.262,0,103681,1117536.09,B
36,3/19/10,59.56,2.701,209.9803208,8.554,0,39910,428851.99,A
37,3/19/10,59.56,2.72,209.9803208,8.554,0,39910,460020.74,C
38,3/19/10,59.57,3.054,126.6066452,13.975,0,39690,333025.47,C
39,3/19/10,58.62,2.72,209.9803208,8.554,0,184109,1301590.13,A
40,3/19/10,40.54,2.834,131.8242903,5.892,0,155083,894865.3,A
41,3/19/10,36.7,2.692,189.734262,7.541,0,196321,1006597.69,A
42,3/19/10,61.46,3.054,126.6066452,9.765,0,39690,519914.1,C
43,3/19/10,56,2.72,203.195159,9.521,0,41062,668098.49,C
44,3/19/10,42.49,2.782,126.6066452,8.119,0,39910,269624.2,C
45,3/19/10,48.79,2.844,182.0779857,8.992,0,118221,773819.49,B
1,3/26/10,51.45,2.732,211.0180424,8.106,0,151315,1404429.92,A
2,3/26/10,51.26,2.732,210.6766095,8.324,0,202307,1750197.81,A
3,3/26/10,57.06,2.732,214.3241011,7.368,0,37392,359949.27,B
4,3/26/10,39.91,2.752,126.6050645,8.623,0,205863,1762539.3,A
5,3/26/10,52.47,2.732,211.5718925,6.566,0,34875,273282.97,B
6,3/26/10,53.74,2.732,212.533737,7.259,0,202505,1472033.38,A
7,3/26/10,23.33,2.717,189.7195417,9.014,0,70713,514731.6,B
8,3/26/10,46.51,2.732,214.3703567,6.299,0,155078,772539.12,A
9,3/26/10,51.8,2.732,214.5531227,6.415,0,125833,484946.56,B
10,3/26/10,60.05,2.98,126.6050645,9.765,0,126512,1893532.46,B
11,3/26/10,58.09,2.732,214.3241011,7.368,0,207499,1245624.27,A
12,3/26/10,60.06,3.083,126.6050645,13.975,0,112238,981615.81,B
13,3/26/10,41.48,2.819,126.6050645,8.316,0,219622,1882095.98,A
14,3/26/10,54.36,2.854,181.9718697,8.992,0,200898,2050396.27,A
15,3/26/10,39.53,2.963,131.863129,8.35,0,123737,592111.49,B
16,3/26/10,29.88,2.717,189.7195417,7.039,0,57197,483177.2,B
17,3/26/10,35.59,2.819,126.6050645,6.548,0,93188,793097.64,B
18,3/26/10,47.55,2.831,131.863129,9.202,0,120653,1092704.09,B
19,3/26/10,39.07,2.963,131.863129,8.35,0,203819,1427023.45,A
20,3/26/10,50.49,2.854,204.201755,8.187,0,203742,1894742.95,A
21,3/26/10,51.66,2.732,210.6766095,8.324,0,140167,686497.53,B
22,3/26/10,48.56,2.831,135.7073618,8.283,0,119557,1012075.12,B
23,3/26/10,38.59,2.831,131.863129,5.892,0,114533,1310701.8,B
24,3/26/10,48.87,2.963,131.863129,8.326,0,203819,1258311.56,A
25,3/26/10,45.84,2.854,204.201755,8.187,0,128107,696687.6,B
26,3/26/10,35.26,2.831,131.863129,8.488,0,152513,893613,A
27,3/26/10,52.34,2.963,135.7073618,8.237,0,204184,1836714.84,A
28,3/26/10,60.06,3.083,126.6050645,13.975,0,206302,1245268.77,A
29,3/26/10,48.56,2.831,131.863129,10.064,0,93638,552985.34,B
30,3/26/10,51.66,2.732,210.6766095,8.324,0,42988,442457.35,C
31,3/26/10,51.66,2.732,210.6766095,8.324,0,203750,1229635.7,A
32,3/26/10,36.59,2.717,189.7195417,9.014,0,203007,1076021.58,A
33,3/26/10,64.09,2.98,126.6050645,10.115,0,39690,262893.76,A
34,3/26/10,42.91,2.752,126.6050645,9.521,0,158114,880742.35,A
35,3/26/10,52.34,2.854,135.7073618,9.262,0,103681,1078900.44,B
36,3/26/10,55.76,2.711,209.7870932,8.554,0,39910,404438.51,A
37,3/26/10,55.76,2.732,209.7870932,8.554,0,39910,515777.97,C
38,3/26/10,60.06,3.083,126.6050645,13.975,0,39690,335858.11,C
39,3/26/10,54.83,2.732,209.7870932,8.554,0,184109,1235094.66,A
40,3/26/10,39.51,2.831,131.863129,5.892,0,155083,873354.58,A
41,3/26/10,32.3,2.717,189.7195417,7.541,0,196321,1015196.46,A
42,3/26/10,60.05,2.98,126.6050645,9.765,0,39690,478021.68,C
43,3/26/10,54.53,2.732,203.0165945,9.521,0,41062,623097.93,C
44,3/26/10,41.48,2.819,126.6050645,8.119,0,39910,276279.49,C
45,3/26/10,54.36,2.854,181.9718697,8.992,0,118221,782563.38,B
1,4/2/10,62.27,2.719,210.8204499,7.808,0,151315,1594968.28,A
2,4/2/10,63.27,2.719,210.4798874,8.2,0,202307,2066187.72,A
3,4/2/10,65.56,2.719,214.1180803,7.343,0,37392,423294.4,B
4,4/2/10,48.77,2.74,126.6034839,7.896,0,205863,1979247.12,A
